Book Title,Price (£),Rating,Availability,Genre,Price Category
The Secret of Dreadwillow Carse,56.13,1,In stock,Childrens,High
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,In stock,Food and Drink,High
The Past Never Ends,56.5,4,In stock,Mystery,High
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,In stock,Young Adult,Medium
The Nameless City (The Nameless City #1),38.16,4,In stock,Sequential Art,Medium
The Murder That Never Was (Forensic Instincts #5),54.11,3,In stock,Fiction,High
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,In stock,Science,Medium
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,In stock,Unlabeled,Low
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,In stock,Nonfiction,Very Low
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,In stock,Default,Very Low
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,In stock,Nonfiction,Medium
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,In stock,Nonfiction,High
The Death of Humanity: and the Case for Life,58.11,4,In stock,Philosophy,High
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,In stock,Health,High
The Art Forger,40.76,3,In stock,Unlabeled,Medium
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,In stock,History,Very Low
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,In stock,Spirituality,Low
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,In stock,Nonfiction,Medium
Soul Reader,39.58,2,In stock,Default,Medium
Security,39.25,2,In stock,Horror,Medium
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,In stock,Fantasy,Low
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,In stock,Sequential Art,High
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,In stock,Nonfiction,Very Low
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,In stock,Sequential Art,High
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,In stock,Sequential Art,Very Low
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,In stock,Fantasy,Very Low
"Pop Gun War, Volume 1: Gift",18.97,1,In stock,Sequential Art,Very Low
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,In stock,History,Medium
Patience,10.16,3,In stock,Sequential Art,Very Low
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock,Sequential Art,Very Low
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,In stock,Sequential Art,High
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,In stock,Self Help,Medium
On a Midnight Clear,14.07,3,In stock,Unlabeled,Very Low
Obsidian (Lux #1),14.86,2,In stock,Young Adult,Very Low
My Paris Kitchen: Recipes and Stories,33.37,2,In stock,Food and Drink,Low
Masks and Shadows,56.4,2,In stock,Fantasy,High
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,In stock,Food and Drink,Very Low
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,In stock,Sequential Art,Medium
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,In stock,Sequential Art,Medium
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,In stock,Sequential Art,Very Low
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,In stock,Food and Drink,Medium
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,In stock,Unlabeled,High
Join,35.67,5,In stock,Science Fiction,Medium
In the Country We Love: My Family Divided,22,4,In stock,Nonfiction,Very Low
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,In stock,Science,High
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,In stock,Sequential Art,Low
I am a Hero Omnibus Volume 1,54.63,3,In stock,Sequential Art,High
How to Be Miserable: 40 Strategies You Already Use,46.03,1,In stock,Self Help,Medium
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,In stock,Romance,Low
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,In stock,Sequential Art,Very Low
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,In stock,Historical Fiction,Low
First and First (Five Boroughs #3),15.97,4,In stock,Romance,Very Low
Fifty Shades Darker (Fifty Shades #2),21.96,1,In stock,Romance,Very Low
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,In stock,Nonfiction,High
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,In stock,Religion,Medium
Danganronpa Volume 1,51.99,4,In stock,Sequential Art,High
Crown of Midnight (Throne of Glass #2),43.29,3,In stock,Fantasy,Medium
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,In stock,Sequential Art,Medium
Camp Midnight,17.08,4,In stock,Sequential Art,Very Low
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,In stock,Nonfiction,Low
Burning,28.81,3,In stock,Young Adult,Low
Bossypants,49.46,2,In stock,Default,High
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,In stock,Sequential Art,Medium
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,In stock,Fantasy,Low
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,In stock,Nonfiction,Low
A World of Flavor: Your Gluten Free Passport,42.95,1,In stock,Default,Medium
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,In stock,Default,High
A Murder in Time,16.64,1,In stock,Mystery,Very Low
A Flight of Arrows (The Pathfinders #2),55.53,5,In stock,Historical Fiction,High
A Fierce and Subtle Poison,28.13,4,In stock,Young Adult,Low
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,In stock,Fantasy,High
(Un)Qualified: How God Uses Broken People to Do Big Things,54,5,In stock,Christian,High
You Are What You Love: The Spiritual Power of Habit,21.87,4,In stock,Religion,Very Low
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,In stock,Science Fiction,Medium
Tuesday Nights in 1980,21.04,2,In stock,Fiction,Very Low
Tracing Numbers on a Train,41.6,3,In stock,Default,Medium
Throne of Glass (Throne of Glass #1),35.07,3,In stock,Fantasy,Medium
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,In stock,History,High
Thirteen Reasons Why,52.72,1,In stock,Default,High
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,4,In stock,Childrens,High
The Wedding Dress,24.12,1,In stock,Romance,Low
The Vacationers,42.15,4,In stock,Fiction,Medium
The Third Wave: An Entrepreneur’s Vision of the Future,12.61,5,In stock,Business,Very Low
The Stranger,17.44,4,In stock,Philosophy,Very Low
The Shadow Hero (The Shadow Hero),33.14,1,In stock,Sequential Art,Low
The Secret (The Secret #1),27.37,4,In stock,Default,Low
The Regional Office Is Under Attack!,51.36,5,In stock,Fiction,High
The Psychopath Test: A Journey Through the Madness Industry,36,2,In stock,Default,Medium
The Project,10.65,1,In stock,Science Fiction,Very Low
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,In stock,Nonfiction,Medium
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,In stock,Nonfiction,Medium
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,In stock,Food and Drink,Medium
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,In stock,Mystery,Medium
The Mistake (Off-Campus #2),43.29,3,In stock,New Adult,Medium
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,In stock,New Adult,High
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,In stock,Food and Drink,Medium
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,In stock,Crime,Very Low
The Kite Runner,41.82,4,In stock,Default,Medium
The House by the Lake,36.95,1,In stock,Historical Fiction,Medium
The Glittering Court (The Glittering Court #1),44.28,1,In stock,Fantasy,Medium
The Girl on the Train,55.02,2,In stock,Default,High
The Genius of Birds,17.24,1,In stock,Nonfiction,Very Low
The Emerald Mystery,23.15,2,In stock,Default,Low
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,In stock,Food and Drink,Medium
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32,3,In stock,Default,Low
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,In stock,Nonfiction,Medium
The Art of War,33.34,5,In stock,Default,Low
The Argonauts,10.93,2,In stock,Autobiography,Very Low
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,In stock,Business,Low
Suddenly in Love (Lake Haven #1),55.99,2,In stock,Romance,High
Something More Than This,16.24,4,In stock,Romance,Very Low
Soft Apocalypse,26.12,2,In stock,Science Fiction,Low
So You've Been Publicly Shamed,12.23,2,In stock,Nonfiction,Very Low
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,In stock,Business,Low
"Shobu Samurai, Project Aryoku (#3)",29.06,3,In stock,Unlabeled,Low
Secrets and Lace (Fatal Hearts #1),20.27,1,In stock,Default,Very Low
Scarlett Epstein Hates It Here,43.55,5,In stock,Young Adult,Medium
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,In stock,Default,Medium
Redeeming Love,20.47,5,In stock,Christian Fiction,Very Low
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,In stock,Default,Medium
Poems That Make Grown Women Cry,14.19,4,In stock,Poetry,Very Low
"Nightingale, Sing",38.28,1,In stock,Young Adult,Medium
Night Sky with Exit Wounds,41.05,1,In stock,Poetry,Medium
Mrs. Houdini,30.25,5,In stock,Historical Fiction,Low
Modern Romance,28.26,5,In stock,Unlabeled,Low
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,1,In stock,Default,Very Low
Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,In stock,Biography,Very Low
Little Red,13.47,3,In stock,Childrens,Very Low
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,5,In stock,Young Adult,High
Large Print Heart of the Pride,19.15,2,In stock,Default,Very Low
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,In stock,Womens Fiction,High
Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,1,In stock,Fantasy,Medium
Grumbles,22.16,2,In stock,Default,Very Low
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,In stock,Travel,High
Frostbite (Vampire Academy #2),29.99,5,In stock,Young Adult,Low
Follow You Home,21.36,1,In stock,Horror,Very Low
First Steps for New Christians (Print Edition),29,1,In stock,Default,Low
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,In stock,Fiction,High
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,In stock,Sequential Art,Medium
Eureka Trivia 6.0,54.59,4,In stock,Default,High
Drive: The Surprising Truth About What Motivates Us,34.95,4,In stock,Default,Low
Done Rubbed Out (Reightman & Bailey #1),37.72,5,In stock,Default,Medium
Doing It Over (Most Likely To #1),35.61,3,In stock,Romance,Medium
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,In stock,Food and Drink,Medium
Dark Notes,19.19,5,In stock,Erotica,Very Low
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3,In stock,Nonfiction,Very Low
Close to You,49.46,4,In stock,Christian Fiction,High
Chasing Heaven: What Dying Taught Me About Living,37.8,2,In stock,Spirituality,Medium
Big Magic: Creative Living Beyond Fear,30.8,3,In stock,Nonfiction,Low
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2,In stock,Nonfiction,Low
Beauty Restored (Riley Family Legacy Novellas #3),11.11,2,In stock,Default,Very Low
Batman: The Long Halloween (Batman),36.5,2,In stock,Sequential Art,Medium
Batman: The Dark Knight Returns (Batman),15.38,5,In stock,Sequential Art,Very Low
Ayumi's Violin,15.48,2,In stock,Default,Very Low
Anonymous,46.82,4,In stock,Default,Medium
Amy Meets the Saints and Sages,18.46,3,In stock,Default,Very Low
Amid the Chaos,36.58,1,In stock,Cultural,Medium
Amatus,50.54,5,In stock,Default,High
Agnostic: A Spirited Manifesto,12.51,5,In stock,Nonfiction,Very Low
Zealot: The Life and Times of Jesus of Nazareth,24.7,3,In stock,History,Low
You (You #1),43.61,5,In stock,Thriller,Medium
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,In stock,Sequential Art,Medium
Wild Swans,14.36,2,In stock,Young Adult,Very Low
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,4,In stock,Politics,High
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,In stock,Nonfiction,Medium
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2,In stock,Nonfiction,Very Low
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,In stock,Sequential Art,High
Walt Disney's Alice in Wonderland,12.96,5,In stock,Childrens,Very Low
V for Vendetta (V for Vendetta Complete),37.1,4,In stock,Default,Medium
Until Friday Night (The Field Party #1),46.31,2,In stock,Young Adult,Medium
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,2,In stock,Default,Medium
Twenty Yawns,22.08,2,In stock,Childrens,Very Low
Through the Woods,25.38,2,In stock,Sequential Art,Low
This Is Where It Ends,27.12,2,In stock,Young Adult,Low
The Year of Magical Thinking,43.04,2,In stock,Nonfiction,Medium
The Wright Brothers,56.8,4,In stock,Default,High
The White Queen (The Cousins' War #1),25.91,5,In stock,Unlabeled,Low
The Wedding Pact (The O'Malleys #2),32.61,3,In stock,Romance,Low
The Time Keeper,27.88,5,In stock,Fiction,Low
The Testament of Mary,52.67,4,In stock,Fiction,High
The Star-Touched Queen,46.02,5,In stock,Fantasy,Medium
The Songs of the Gods,44.48,5,In stock,Default,Medium
The Song of Achilles,37.4,5,In stock,Unlabeled,Medium
The Rosie Project (Don Tillman #1),54.04,1,In stock,Default,High
The Power of Habit: Why We Do What We Do in Life and Business,16.88,3,In stock,Default,Very Low
The Marriage of Opposites,28.08,4,In stock,Historical Fiction,Low
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,1,In stock,Psychology,Very Low
The Long Haul (Diary of a Wimpy Kid #9),44.07,1,In stock,Humor,Medium
The Loney,23.4,1,In stock,Horror,Low
The Literature Book (Big Ideas Simply Explained),17.43,3,In stock,Nonfiction,Very Low
The Last Mile (Amos Decker #2),54.21,2,In stock,Mystery,High
The Immortal Life of Henrietta Lacks,40.67,2,In stock,Unlabeled,Medium
The Hidden Oracle (The Trials of Apollo #1),52.26,2,In stock,Fantasy,High
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3,In stock,Food and Drink,Low
The Guilty (Will Robie #4),13.82,2,In stock,Thriller,Very Low
The First Hostage (J.B. Collins #2),25.85,3,In stock,Fiction,Low
The Dovekeepers,48.78,1,In stock,Unlabeled,High
The Darkest Lie,35.35,5,In stock,Young Adult,Medium
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,In stock,Fantasy,Medium
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,15.77,1,In stock,Nonfiction,Very Low
The 14th Colony (Cotton Malone #11),39.24,1,In stock,Thriller,Medium
That Darkness (Gardiner and Renner #1),13.92,1,In stock,Mystery,Very Low
Tastes Like Fear (DI Marnie Rome #3),10.69,1,In stock,Mystery,Very Low
Take Me with You,45.21,3,In stock,Fiction,Medium
Swell: A Year of Waves,45.58,1,In stock,Nonfiction,Medium
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,In stock,Sequential Art,Very Low
Still Life with Bread Crumbs,26.41,3,In stock,Fiction,Low
Steve Jobs,39.5,5,In stock,Default,Medium
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,In stock,Science,Medium
Someone Like You (The Harrisons #2),52.79,5,In stock,Contemporary,High
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,In stock,Sequential Art,Medium
Shtum,55.84,4,In stock,Fiction,High
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,In stock,Travel,High
salt.,46.78,4,In stock,Poetry,Medium
Robin War,47.82,3,In stock,Sequential Art,High
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,In stock,Sequential Art,Low
Rain Fish,23.57,3,In stock,Childrens,Low
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5,In stock,Poetry,High
Pet Sematary,10.56,3,In stock,Horror,Very Low
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3,In stock,Self Help,High
Once Was a Time,18.28,2,In stock,Childrens,Very Low
Old School (Diary of a Wimpy Kid #10),11.83,5,In stock,Humor,Very Low
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2,In stock,Nonfiction,Very Low
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,In stock,Sequential Art,Medium
My Name Is Lucy Barton,41.56,1,In stock,Fiction,Medium
My Mrs. Brown,24.48,3,In stock,Fiction,Low
My Kind of Crazy,40.36,1,In stock,Young Adult,Medium
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,In stock,Fiction,Low
More Than Music (Chasing the Dream #1),37.61,2,In stock,Unlabeled,Medium
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,In stock,Business,Medium
Luis Paints the World,53.95,3,In stock,Childrens,High
Luckiest Girl Alive,49.83,3,In stock,Default,High
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,In stock,Sequential Art,High
Love Is a Mix Tape (Music #1),18.03,1,In stock,Music,Very Low
Looking for Lovely: Collecting the Moments that Matter,29.14,5,In stock,Nonfiction,Low
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,4,In stock,Default,Medium
Let It Out: A Journey Through Journaling,26.79,5,In stock,Nonfiction,Low
Lady Midnight (The Dark Artifices #1),16.28,5,In stock,Default,Very Low
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1,In stock,Food and Drink,Very Low
Island of Dragons (Unwanteds #7),29.65,1,In stock,Fantasy,Low
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,In stock,Humor,Low
I Am Pilgrim (Pilgrim #1),10.6,4,In stock,Fiction,Very Low
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,In stock,Humor,Very Low
"Hush, Hush (Hush, Hush #1)",47.02,3,In stock,Default,Medium
Hold Your Breath (Search and Rescue #1),28.82,1,In stock,Romance,Low
Hamilton: The Revolution,58.79,3,In stock,Nonfiction,High
Greek Mythic History,10.23,5,In stock,Default,Very Low
God: The Most Unpleasant Character in All Fiction,30.03,5,In stock,Religion,Low
Glory over Everything: Beyond The Kitchen House,45.84,3,In stock,Historical Fiction,Medium
Feathers: Displays of Brilliant Plumage,49.05,3,In stock,Art,High
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,In stock,Nonfiction,Very Low
Every Last Word,46.47,3,In stock,Default,Medium
Eligible (The Austen Project #4),27.09,3,In stock,Fiction,Low
El Deafo,57.62,5,In stock,Sequential Art,High
Eight Hundred Grapes,14.39,4,In stock,Fiction,Very Low
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5,In stock,Nonfiction,High
"Eat Fat, Get Thin",54.07,2,In stock,Health,High
Don't Get Caught,55.35,1,In stock,Young Adult,High
Doctor Sleep (The Shining #2),40.12,2,In stock,Horror,Medium
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5,In stock,Fantasy,Medium
Dear Mr. Knightley,11.21,5,In stock,Fiction,Very Low
Daily Fantasy Sports,36.58,1,In stock,Default,Medium
Crazy Love: Overwhelmed by a Relentless God,47.72,2,In stock,Christian,High
Cometh the Hour (The Clifton Chronicles #6),25.01,3,In stock,Fiction,Low
Code Name Verity (Code Name Verity #1),22.13,4,In stock,Unlabeled,Very Low
Clockwork Angel (The Infernal Devices #1),44.14,1,In stock,Default,Medium
City of Glass (The Mortal Instruments #3),56.02,4,In stock,Fantasy,High
City of Fallen Angels (The Mortal Instruments #4),11.23,4,In stock,Default,Very Low
City of Bones (The Mortal Instruments #1),43.28,1,In stock,Default,Medium
City of Ashes (The Mortal Instruments #2),47.27,1,In stock,Default,Medium
Cell,20.29,4,In stock,Unlabeled,Very Low
Catching Jordan (Hundred Oaks),50.83,3,In stock,Young Adult,High
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,3,In stock,Default,Low
Carrie,46.23,2,In stock,Default,Medium
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,4,In stock,Nonfiction,Medium
Brain on Fire: My Month of Madness,49.32,5,In stock,Nonfiction,High
Batman: Europa,32.01,2,In stock,Sequential Art,Low
Barefoot Contessa Back to Basics,28.01,1,In stock,Food and Drink,Low
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,5,In stock,Food and Drink,High
Balloon Animals,17.03,3,In stock,Fiction,Very Low
Art Ops Vol. 1,48.8,3,In stock,Sequential Art,High
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,4,In stock,Young Adult,High
Angels Walking (Angels Walking #1),34.2,2,In stock,Unlabeled,Low
Angels & Demons (Robert Langdon #1),51.48,3,In stock,Default,High
All the Light We Cannot See,29.87,5,In stock,Historical,Low
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2,In stock,Sequential Art,Very Low
Abstract City,56.37,5,In stock,Nonfiction,High
A Time of Torment (Charlie Parker #14),48.35,5,In stock,Mystery,High
A Study in Scarlet (Sherlock Holmes #1),16.73,2,In stock,Mystery,Very Low
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,2,In stock,Unlabeled,High
A People's History of the United States,40.79,2,In stock,Unlabeled,Medium
A Man Called Ove,39.72,1,In stock,Fiction,Medium
A Distant Mirror: The Calamitous 14th Century,14.58,3,In stock,History,Very Low
A Brush of Wings (Angels Walking #3),55.51,1,In stock,Unlabeled,High
1491: New Revelations of the Americas Before Columbus,21.8,3,In stock,History,Very Low
"The Three Searches, Meaning, and the Story",13.33,3,In stock,Default,Very Low
